name,type,hp,atk,def,spa,spd,spe
Escavalier,Bug,70,135,105,60,105,20
Foongus,Grass,69,55,45,55,55,15
Amoonguss,Grass,114,85,70,85,80,30
Frillish,Water,55,40,50,65,85,40
Jellicent,Water,100,60,70,85,105,60
Alomomola,Water,165,75,80,40,45,65
Joltik,Bug,50,47,50,57,50,65
Galvantula,Bug,70,77,60,97,60,108
Ferroseed,Grass,44,50,91,24,86,10
Ferrothorn,Grass,74,94,131,54,116,20
Klink,Steel,40,55,70,45,60,30
Klang,Steel,60,80,95,70,85,50
Klinklang,Steel,60,100,115,70,85,90
Tynamo,Electric,35,55,40,45,40,60
Eelektrik,Electric,65,85,70,75,70,40
Eelektross,Electric,85,115,80,105,80,50
Elgyem,Psychic,55,55,55,85,55,30
Beheeyem,Psychic,75,75,75,125,95,40
Litwick,Ghost,50,30,55,65,55,20
Lampent,Ghost,60,40,60,95,60,55
Chandelure,Ghost,60,55,90,145,90,80
Axew,Dragon,46,87,60,30,40,57
Fraxure,Dragon,66,117,70,40,50,67
Haxorus,Dragon,76,147,90,60,70,97
Cubchoo,Ice,55,70,40,60,40,40
Beartic,Ice,95,130,80,70,80,50
Cryogonal,Ice,80,50,50,95,135,105
Shelmet,Bug,50,40,85,40,65,25
Accelgor,Bug,80,70,40,100,60,145
Stunfisk,Ground,109,66,84,81,99,32
Mienfoo,Fighting,45,85,50,55,50,65
Mienshao,Fighting,65,125,60,95,60,105
Druddigon,Dragon,77,120,90,60,90,48
Golett,Ground,59,74,50,35,50,35
Golurk,Ground,89,124,80,55,80,55
Pawniard,Dark,45,85,70,40,40,60
Bisharp,Dark,65,125,100,60,70,70
Bouffalant,Normal,95,110,95,40,95,55
Rufflet,Normal,70,83,50,37,50,60
Braviary,Normal,100,123,75,57,75,80
Vullaby,Dark,70,55,75,45,65,60
Mandibuzz,Dark,110,65,105,55,95,80
Heatmor,Fire,85,97,66,105,66,65
Durant,Bug,58,109,112,48,48,109
Deino,Dark,52,65,50,45,50,38
Zweilous,Dark,72,85,70,65,70,58
Hydreigon,Dark,92,105,90,125,90,98
Larvesta,Bug,55,85,55,50,55,60
Volcarona,Bug,85,60,65,135,105,100
Cobalion,Steel,91,90,129,90,72,108
Terrakion,Rock,91,129,90,72,90,108
Virizion,Grass,91,90,72,90,129,108
Tornadus (Incarnate Forme),Flying,79,115,70,125,80,111
Thundurus (Incarnate Forme),Electric,79,115,70,125,80,111
Reshiram,Dragon,100,120,100,150,120,90
Zekrom,Dragon,100,150,120,120,100,90
Landorus (Incarnate Forme),Ground,89,125,90,115,80,101
Kyurem (Kyurem),Dragon,125,130,90,130,90,95
Keldeo (Ordinary Form),Water,91,72,90,129,90,108
Meloetta (Aria Forme),Normal,100,77,77,128,128,90
Genesect (Genesect),Bug,71,120,95,120,95,99
Chespin,Grass,56,61,65,48,45,38
Quilladin,Grass,61,78,95,56,58,57
Chesnaught,Grass,88,107,122,74,75,64
Fennekin,Fire,40,45,40,62,60,60
Braixen,Fire,59,59,58,90,70,73
Delphox,Fire,75,69,72,114,100,104
Froakie,Water,41,56,40,62,44,71
Frogadier,Water,54,63,52,83,56,97
Greninja,Water,72,95,67,103,71,122
Bunnelby,Normal,38,36,38,32,36,57
Diggersby,Normal,85,56,77,50,77,78
Fletchling,Normal,45,50,43,40,38,62
Fletchinder,Fire,62,73,55,56,52,84
Talonflame,Fire,78,81,71,74,69,126
Scatterbug,Bug,38,35,40,27,25,35
Spewpa,Bug,45,22,60,27,30,29
Vivillon (Icy Snow Pattern),Bug,80,52,50,90,50,89
Litleo,Fire,62,50,58,73,54,72
Pyroar,Fire,86,68,72,109,66,106
Flabébé (Red Flower),Fairy,44,38,39,61,79,42
Floette (Red Flower),Fairy,54,45,47,75,98,52
Florges (Red Flower),Fairy,78,65,68,112,154,75
Skiddo,Grass,66,65,48,62,57,52
Gogoat,Grass,123,100,62,97,81,68
Pancham,Dark,67,82,62,46,48,43
Pangoro,Dark,95,124,78,69,71,58
Furfrou (Natural Form),Normal,75,80,60,65,90,102
Espurr,Psychic,62,48,54,63,60,68
Meowstic (Male),Psychic,74,48,76,83,81,104
Honedge,Steel,45,80,100,35,37,28
Doublade,Steel,59,110,150,45,49,35
Aegislash (Shield Forme),Steel,60,50,150,50,150,60
Spritzee,Fairy,78,52,60,63,65,23
Aromatisse,Fairy,101,72,72,99,89,29
Swirlix,Fairy,62,48,66,59,57,49
Slurpuff,Fairy,82,80,86,85,75,72
Inkay,Dark,53,54,53,37,46,45
Malamar,Dark,86,92,88,68,75,73
Binacle,Rock,42,52,67,39,56,50
Barbaracle,Rock,72,105,115,54,86,68
Skrelp,Poison,50,60,60,60,60,30
Dragalge,Poison,65,75,90,97,123,44
Clauncher,Water,50,53,62,58,63,44
Clawitzer,Water,71,73,88,120,89,59
Helioptile,Electric,44,38,33,61,43,70
Heliolisk,Electric,62,55,52,109,94,109
Tyrunt,Rock,58,89,77,45,45,48
Tyrantrum,Rock,82,121,119,69,59,71
Amaura,Rock,77,59,50,67,63,46
Aurorus,Rock,123,77,72,99,92,58
Sylveon,Fairy,95,65,65,110,130,60
Hawlucha,Fighting,78,92,75,74,63,118
Dedenne,Electric,67,58,57,81,67,101
Carbink,Rock,50,50,150,50,150,50
Goomy,Dragon,45,50,35,55,75,40
Sliggoo,Dragon,68,75,53,83,113,60
Goodra,Dragon,90,100,70,110,150,80
Klefki,Steel,57,80,91,80,87,75
Phantump,Ghost,43,70,48,50,60,38
Trevenant,Ghost,85,110,76,65,82,56
Pumpkaboo (Average Size),Ghost,49,66,70,44,55,51
Gourgeist (Average Size),Ghost,65,90,122,58,75,84
Bergmite,Ice,55,69,85,32,35,28
Avalugg,Ice,95,117,184,44,46,28
Noibat,Flying,40,30,35,45,40,55
Noivern,Flying,85,70,80,97,80,123
Xerneas (Neutral Mode),Fairy,126,131,95,131,98,99
Yveltal,Dark,126,131,95,131,98,99
Zygarde (50% Forme),Dragon,108,100,121,81,95,95
Diancie,Rock,50,100,150,100,150,50
Hoopa (Hoopa Confined),Psychic,80,110,60,150,130,70
Volcanion,Fire,80,110,120,130,90,70
Rowlet,Grass,68,55,55,50,50,42
Dartrix,Grass,78,75,75,70,70,52
Decidueye,Grass,78,107,75,100,100,70
Litten,Fire,45,65,40,60,40,70
Torracat,Fire,65,85,50,80,50,90
Incineroar,Fire,95,115,90,80,90,60
Popplio,Water,50,54,54,66,56,40
Brionne,Water,60,69,69,91,81,50
Primarina,Water,80,74,74,126,116,60
Pikipek,Normal,35,75,30,30,30,65
Trumbeak,Normal,55,85,50,40,50,75
Toucannon,Normal,80,120,75,75,75,60
Yungoos,Normal,48,70,30,30,30,45
Gumshoos,Normal,88,110,60,55,60,45
Grubbin,Bug,47,62,45,55,45,46
Charjabug,Bug,57,82,95,55,75,36
Vikavolt,Bug,77,70,90,145,75,43
Crabrawler,Fighting,47,82,57,42,47,63
Crabominable,Fighting,97,132,77,62,67,43
Oricorio (Baile Style),Fire,75,70,70,98,70,93
Cutiefly,Bug,40,45,40,55,40,84
Ribombee,Bug,60,55,60,95,70,124
Rockruff,Rock,45,65,40,30,40,60
Lycanroc (Midday Form),Rock,75,115,65,55,65,112
Wishiwashi (Solo Form),Water,45,20,20,25,25,40
Mareanie,Poison,50,53,62,43,52,45
Toxapex,Poison,50,63,152,53,142,35
Mudbray,Ground,70,100,70,45,55,45
Mudsdale,Ground,100,125,100,55,85,35
Dewpider,Water,38,40,52,40,72,27
Araquanid,Water,68,70,92,50,132,42
Fomantis,Grass,40,55,35,50,35,35
Lurantis,Grass,70,105,90,80,90,45
Morelull,Grass,40,35,55,65,75,15
Shiinotic,Grass,60,45,80,90,100,30
Salandit,Poison,48,44,40,71,40,77
Salazzle,Poison,68,64,60,111,60,117
Stufful,Normal,70,75,50,45,50,50
Bewear,Normal,120,125,80,55,60,60
Bounsweet,Grass,42,30,38,30,38,32
Steenee,Grass,52,40,48,40,48,62
Tsareena,Grass,72,120,98,50,98,72
Comfey,Fairy,51,52,90,82,110,100
Oranguru,Normal,90,60,80,90,110,60
Passimian,Fighting,100,120,90,40,60,80
Wimpod,Bug,25,35,40,20,30,80
Golisopod,Bug,75,125,140,60,90,40
Sandygast,Ghost,55,55,80,70,45,15
Palossand,Ghost,85,75,110,100,75,35
Pyukumuku,Water,55,60,130,30,130,5
Type: Null,Normal,95,95,95,95,95,59
Silvally (Type: Normal),Normal,95,95,95,95,95,95
Minior (Meteor Form),Rock,60,60,100,60,100,60
Komala,Normal,65,115,65,75,95,65
Turtonator,Fire,60,78,135,91,85,36
Togedemaru,Electric,65,98,63,40,73,96
Mimikyu (Disguised Form),Ghost,55,90,80,50,105,96
Bruxish,Water,68,105,70,70,70,92
Drampa,Normal,78,60,85,135,91,36
Dhelmise,Ghost,70,131,100,86,90,40
Jangmo-o,Dragon,45,55,65,45,45,45
Hakamo-o,Dragon,55,75,90,65,70,65
Kommo-o,Dragon,75,110,125,100,105,85
Tapu Koko,Electric,70,115,85,95,75,130
Tapu Lele,Psychic,70,85,75,130,115,95
Tapu Bulu,Grass,70,130,115,85,95,75
Tapu Fini,Water,70,75,115,95,130,85
Cosmog,Psychic,43,29,31,29,31,37
Cosmoem,Psychic,43,29,131,29,131,37
Solgaleo,Psychic,137,137,107,113,89,97
Lunala,Psychic,137,113,89,137,107,97
Nihilego,Rock,109,53,47,127,131,103
Buzzwole,Bug,107,139,139,53,53,79
Pheromosa,Bug,71,137,37,137,37,151
Xurkitree,Electric,83,89,71,173,71,83
Celesteela,Steel,97,101,103,107,101,61
Kartana,Grass,59,181,131,59,31,109
Guzzlord,Dark,223,101,53,97,53,43
Necrozma,Psychic,97,107,101,127,89,79
Magearna,Steel,80,95,115,130,115,65
Marshadow,Fighting,90,125,80,90,90,125
Venusaur (Mega Venusaur),Grass,80,100,123,122,120,80
Charizard (Mega Charizard X),Fire,78,130,111,130,85,100
Charizard (Mega Charizard Y),Fire,78,104,78,159,115,100
Blastoise (Mega Blastoise),Water,79,103,120,135,115,78
Beedrill (Mega Beedrill),Bug,65,150,40,15,80,145
Pidgeot (Mega Pidgeot),Normal,83,80,80,135,80,121
Rattata (Alola Form),Dark,30,56,35,25,35,72
Raticate (Alola Form),Dark,75,71,70,40,80,77
Raticate (1),Dark,75,71,70,40,80,77
Pikachu (Original Cap),Electric,35,55,40,50,50,90
Pikachu (Hoenn Cap),Electric,35,55,40,50,50,90
Pikachu (Sinnoh Cap),Electric,35,55,40,50,50,90
Pikachu (Unova Cap),Electric,35,55,40,50,50,90
Pikachu (Kalos Cap),Electric,35,55,40,50,50,90
Pikachu (Alola Cap),Electric,35,55,40,50,50,90
Raichu (Alola Form),Electric,60,85,50,95,85,110
Sandshrew (Alola Form),Ice,50,75,90,10,35,40
Sandslash (Alola Form),Ice,75,100,120,25,65,65
Vulpix (Alola Form),Ice,38,41,40,50,65,65
Ninetales (Alola Form),Ice,73,67,75,81,100,109
Diglett (Alola Form),Ground,10,55,30,35,45,90
Dugtrio (Alola Form),Ground,35,100,60,50,70,110
Meowth (Alola Form),Dark,40,35,35,50,40,90
Persian (Alola Form),Dark,65,60,60,75,65,115
Alakazam (Mega Alakazam),Psychic,55,50,65,175,95,150
Geodude (Alola Form),Rock,40,80,100,30,30,20
Graveler (Alola Form),Rock,55,95,115,45,45,35
Golem (Alola Form),Rock,80,120,130,55,65,45
Slowbro (Mega Slowbro),Water,95,75,180,130,80,30
Grimer (Alola Form),Poison,80,80,50,40,50,25
Muk (Alola Form),Poison,105,105,75,65,100,50
Gengar (Mega Gengar),Ghost,60,65,80,170,95,130
Exeggutor (Alola Form),Grass,95,105,85,125,75,45
Marowak (Alola Form),Fire,60,80,110,50,80,45
Kangaskhan (Mega Kangaskhan),Normal,105,125,100,60,100,100
Pinsir (Mega Pinsir),Bug,65,155,120,65,90,105
Gyarados (Mega Gyarados),Water,95,155,109,70,130,81
Aerodactyl (Mega Aerodactyl),Rock,80,135,85,70,95,150
Mewtwo (Mega Mewtwo X),Psychic,106,190,100,154,100,130
Mewtwo (Mega Mewtwo Y),Psychic,106,150,70,194,120,140
Ampharos (Mega Ampharos),Electric,90,95,105,165,110,45
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Unown (One form),Psychic,48,72,48,72,48,48
Steelix (Mega Steelix),Steel,75,125,230,55,95,30
Scizor (Mega Scizor),Bug,70,150,140,65,100,75
Heracross (Mega Heracross),Bug,80,185,115,40,105,75
Houndoom (Mega Houndoom),Dark,75,90,90,140,90,115
Tyranitar (Mega Tyranitar),Rock,100,164,150,95,120,71
Sceptile (Mega Sceptile),Grass,70,110,75,145,85,145
Blaziken (Mega Blaziken),Fire,80,160,80,130,80,100
Swampert (Mega Swampert),Water,100,150,110,95,110,70
Gardevoir (Mega Gardevoir),Psychic,68,85,65,165,135,100
Sableye (Mega Sableye),Dark,50,85,125,85,115,20
Mawile (Mega Mawile),Steel,50,105,125,55,95,50
Aggron (Mega Aggron),Steel,70,140,230,60,80,50
Medicham (Mega Medicham),Fighting,60,100,85,80,85,100
Manectric (Mega Manectric),Electric,70,75,80,135,80,135
Sharpedo (Mega Sharpedo),Water,70,140,70,110,65,105
Camerupt (Mega Camerupt),Fire,70,120,100,145,105,20
Altaria (Mega Altaria),Dragon,75,110,110,110,105,80
Castform (Sunny Form),Fire,70,70,70,70,70,70
Castform (Rainy Form),Water,70,70,70,70,70,70
Castform (Snowy Form),Ice,70,70,70,70,70,70
Banette (Mega Banette),Ghost,64,165,75,93,83,75
Absol (Mega Absol),Dark,65,150,60,115,60,115
Glalie (Mega Glalie),Ice,80,120,80,120,80,100
Salamence (Mega Salamence),Dragon,95,145,130,120,90,120
Metagross (Mega Metagross),Steel,80,145,150,105,110,110
Latias (Mega Latias),Dragon,80,100,120,140,150,110
Latios (Mega Latios),Dragon,80,130,100,160,120,110
Kyogre (Primal Reversion),Water,100,150,90,180,160,90
Groudon (Primal Reversion),Ground,100,180,160,150,90,90
Rayquaza (Mega Rayquaza),Dragon,105,180,100,180,100,115
Deoxys (Attack Forme),Psychic,50,180,20,180,20,150
Deoxys (Defense Forme),Psychic,50,70,160,70,160,90
Deoxys (Speed Forme),Psychic,50,95,90,95,90,180
Burmy (Sandy Cloak),Bug,40,29,45,29,45,36
Burmy (Trash Cloak),Bug,40,29,45,29,45,36
Wormadam (Sandy Cloak),Bug,60,79,105,59,85,36
Wormadam (Trash Cloak),Bug,60,69,95,69,95,36
Cherrim (Sunshine Form),Grass,70,60,70,87,78,85
Shellos (East Sea),Water,76,48,48,57,62,34
Gastrodon (East Sea),Water,111,83,68,92,82,39
Lopunny (Mega Lopunny),Normal,65,136,94,54,96,135
Garchomp (Mega Garchomp),Dragon,108,170,115,120,95,92
Lucario (Mega Lucario),Fighting,70,145,88,140,70,112
Abomasnow (Mega Abomasnow),Grass,90,132,105,132,105,30
Gallade (Mega Gallade),Psychic,68,165,95,65,115,110
Rotom (Heat Rotom),Electric,50,65,107,105,107,86
Rotom (Wash Rotom),Electric,50,65,107,105,107,86
Rotom (Frost Rotom),Electric,50,65,107,105,107,86
Rotom (Fan Rotom),Electric,50,65,107,105,107,86
Rotom (Mow Rotom),Electric,50,65,107,105,107,86
Giratina (Origin Forme),Ghost,150,120,100,120,100,90
Shaymin (Sky Forme),Grass,100,103,75,120,75,127
Arceus (Fighting),Fighting,120,120,120,120,120,120
Arceus (Flying),Flying,120,120,120,120,120,120
Arceus (Poison),Poison,120,120,120,120,120,120
Arceus (Ground),Ground,120,120,120,120,120,120
Arceus (Rock),Rock,120,120,120,120,120,120
Arceus (Bug),Bug,120,120,120,120,120,120
Arceus (Ghost),Ghost,120,120,120,120,120,120
Arceus (Steel),Steel,120,120,120,120,120,120
Arceus (Fire),Fire,120,120,120,120,120,120
Arceus (Water),Water,120,120,120,120,120,120
Arceus (Grass),Grass,120,120,120,120,120,120
Arceus (Electric),Electric,120,120,120,120,120,120
Arceus (Psychic),Psychic,120,120,120,120,120,120
Arceus (Ice),Ice,120,120,120,120,120,120
Arceus (Dragon),Dragon,120,120,120,120,120,120
Arceus (Dark),Dark,120,120,120,120,120,120
Arceus (Fairy),Fairy,120,120,120,120,120,120
Audino (Mega Audino),Normal,103,60,126,80,126,50
Basculin (Blue-Striped Form),Water,70,92,65,80,55,98
Darmanitan (Zen Mode),Fire,105,30,105,140,105,55
Deerling (Summer Form),Normal,60,60,50,40,50,75
Deerling (Autumn Form),Normal,60,60,50,40,50,75
Deerling (Winter Form),Normal,60,60,50,40,50,75
Sawsbuck (Summer Form),Normal,80,100,70,60,70,95
Sawsbuck (Autumn Form),Normal,80,100,70,60,70,95
Sawsbuck (Winter Form),Normal,80,100,70,60,70,95
Tornadus (Therian Forme),Flying,79,100,80,110,90,121
Thundurus (Therian Forme),Electric,79,105,70,145,80,101
Landorus (Therian Forme),Ground,89,145,90,105,80,91
Kyurem (White Kyurem),Dragon,125,120,90,170,100,95
Kyurem (Black Kyurem),Dragon,125,170,100,120,90,95
Keldeo (Resolute Form),Water,91,72,90,129,90,108
Meloetta (Pirouette Forme),Normal,100,128,90,77,77,128
Genesect (Genesect),Bug,71,120,95,120,95,99
Genesect (Genesect),Bug,71,120,95,120,95,99
Genesect (Genesect),Bug,71,120,95,120,95,99
Genesect (Genesect),Bug,71,120,95,120,95,99
Greninja (Battle Bond),Water,72,95,67,103,71,122
Greninja (Ash-Greninja),Water,72,145,67,153,71,132
Vivillon (Polar Pattern),Bug,80,52,50,90,50,89
Vivillon (Tundra Pattern),Bug,80,52,50,90,50,89
Vivillon (Continental Pattern),Bug,80,52,50,90,50,89
Vivillon (Garden Pattern),Bug,80,52,50,90,50,89
Vivillon (Elegant Pattern),Bug,80,52,50,90,50,89
Vivillon (Meadow Pattern),Bug,80,52,50,90,50,89
Vivillon (Modern Pattern),Bug,80,52,50,90,50,89
Vivillon (Marine Pattern),Bug,80,52,50,90,50,89
Vivillon (Archipelago Pattern),Bug,80,52,50,90,50,89
Vivillon (High Plains Pattern),Bug,80,52,50,90,50,89
Vivillon (Sandstorm Pattern),Bug,80,52,50,90,50,89
Vivillon (River Pattern),Bug,80,52,50,90,50,89
Vivillon (Monsoon Pattern),Bug,80,52,50,90,50,89
Vivillon (Savanna Pattern),Bug,80,52,50,90,50,89
Vivillon (Sun Pattern),Bug,80,52,50,90,50,89
Vivillon (Ocean Pattern),Bug,80,52,50,90,50,89
Vivillon (Jungle Pattern),Bug,80,52,50,90,50,89
Vivillon (Fancy Pattern),Bug,80,52,50,90,50,89
Vivillon (Poké Ball Pattern),Bug,80,52,50,90,50,89
Flabébé (Yellow Flower),Fairy,44,38,39,61,79,42
Flabébé (Orange Flower),Fairy,44,38,39,61,79,42
Flabébé (Blue Flower),Fairy,44,38,39,61,79,42
Flabébé (White Flower),Fairy,44,38,39,61,79,42
Floette (Yellow Flower),Fairy,54,45,47,75,98,52
Floette (Orange Flower),Fairy,54,45,47,75,98,52
Floette (Blue Flower),Fairy,54,45,47,75,98,52
Floette (White Flower),Fairy,54,45,47,75,98,52
Floette (Eternal Flower),Fairy,74,65,67,125,128,92
Florges (Yellow Flower),Fairy,78,65,68,112,154,75
Florges (Orange Flower),Fairy,78,65,68,112,154,75
Florges (Blue Flower),Fairy,78,65,68,112,154,75
Florges (White Flower),Fairy,78,65,68,112,154,75
Furfrou (Heart Trim),Normal,75,80,60,65,90,102
Furfrou (Star Trim),Normal,75,80,60,65,90,102
Furfrou (Diamond Trim),Normal,75,80,60,65,90,102
Furfrou (Debutante Trim),Normal,75,80,60,65,90,102
Furfrou (Matron Trim),Normal,75,80,60,65,90,102
Furfrou (Dandy Trim),Normal,75,80,60,65,90,102
Furfrou (La Reine Trim),Normal,75,80,60,65,90,102
Furfrou (Kabuki Trim),Normal,75,80,60,65,90,102
Furfrou (Pharaoh Trim),Normal,75,80,60,65,90,102
Meowstic (Female),Psychic,74,48,76,83,81,104
Aegislash (Blade Forme),Steel,60,150,50,150,50,60
Pumpkaboo (Small Size),Ghost,44,66,70,44,55,56
Pumpkaboo (Large Size),Ghost,54,66,70,44,55,46
Pumpkaboo (Super Size),Ghost,59,66,70,44,55,41
Gourgeist (Small Size),Ghost,55,85,122,58,75,99
Gourgeist (Large Size),Ghost,75,95,122,58,75,69
Gourgeist (Super Size),Ghost,85,100,122,58,75,54
Xerneas (Active Mode),Fairy,126,131,95,131,98,99
Zygarde (10% Forme),Dragon,54,100,71,61,85,115
Zygarde (10% Forme),Dragon,54,100,71,61,85,115
Zygarde (50% Forme),Dragon,108,100,121,81,95,95
Zygarde (Complete Forme),Dragon,216,100,121,91,95,85
Diancie (Mega Diancie),Rock,50,160,110,160,110,110
Hoopa (Hoopa Unbound),Psychic,80,160,60,170,130,80
Gumshoos (1),Normal,88,110,60,55,60,45
Vikavolt (1),Bug,77,70,90,145,75,43
Oricorio (Pom-Pom Style),Electric,75,70,70,98,70,93
Oricorio (Pa’u Style),Psychic,75,70,70,98,70,93
Oricorio (Sensu Style),Ghost,75,70,70,98,70,93
Lycanroc (Midnight Form),Rock,85,115,75,55,75,82
Wishiwashi (School Form),Water,45,140,130,140,135,30
Lurantis (1),Grass,70,105,90,80,90,45
Salazzle (1),Poison,68,64,60,111,60,117
Silvally (Type: Fighting),Fighting,95,95,95,95,95,95
Silvally (Type: Flying),Flying,95,95,95,95,95,95
Silvally (Type: Poison),Poison,95,95,95,95,95,95
Silvally (Type: Ground),Ground,95,95,95,95,95,95
Silvally (Type: Rock),Rock,95,95,95,95,95,95
Silvally (Type: Bug),Bug,95,95,95,95,95,95
Silvally (Type: Ghost),Ghost,95,95,95,95,95,95
Silvally (Type: Steel),Steel,95,95,95,95,95,95
Silvally (Type: Fire),Fire,95,95,95,95,95,95
Silvally (Type: Water),Water,95,95,95,95,95,95
Silvally (Type: Grass),Grass,95,95,95,95,95,95
Silvally (Type: Electric),Electric,95,95,95,95,95,95
Silvally (Type: Psychic),Psychic,95,95,95,95,95,95
Silvally (Type: Ice),Ice,95,95,95,95,95,95
Silvally (Type: Dragon),Dragon,95,95,95,95,95,95
Silvally (Type: Dark),Dark,95,95,95,95,95,95
Silvally (Type: Fairy),Fairy,95,95,95,95,95,95
Minior (Meteor Form),Rock,60,60,100,60,100,60
Minior (Meteor Form),Rock,60,60,100,60,100,60
Minior (Meteor Form),Rock,60,60,100,60,100,60
Minior (Meteor Form),Rock,60,60,100,60,100,60
Minior (Meteor Form),Rock,60,60,100,60,100,60
Minior (Meteor Form),Rock,60,60,100,60,100,60
Minior (Red Core),Rock,60,100,60,100,60,120
Minior (Orange Core),Rock,60,100,60,100,60,120
Minior (Yellow Core),Rock,60,100,60,100,60,120
Minior (Green Core),Rock,60,100,60,100,60,120
Minior (Blue Core),Rock,60,100,60,100,60,120
Minior (Indigo Core),Rock,60,100,60,100,60,120
Minior (Violet Core),Rock,60,100,60,100,60,120
Mimikyu (Busted Form),Ghost,60,100,60,100,60,120
Mimikyu (2),Ghost,60,100,60,100,60,120
Mimikyu (3),Ghost,60,100,60,100,60,120
Kommo-o (1),Dragon,75,110,125,100,105,85
Magearna (Original Color),Steel,80,95,115,130,115,65